"CISControlID","ControlDescription","TotalChecks","PassedChecks","FailedChecks","CompliancePercentage","Status","CriticalIssues","HighIssues","MediumIssues","LowIssues","RemediationRequired"
"8.1","Ensure TLS 1.2+ enforced","0","0","0","N/A","Compliant","0","0","0","0","No"
"8.2","Ensure secure cipher suites","0","0","0","N/A","Compliant","0","0","0","0","No"
"8.3","Ensure certificates valid","0","0","0","N/A","Compliant","0","0","0","0","No"
"AD1","Shadow admin discovery","0","0","0","N/A","Compliant","0","0","0","0","No"
"AD2","Skeleton Key detection","0","0","0","N/A","Compliant","0","0","0","0","No"
"AD3","SID History analysis","0","0","0","N/A","Compliant","0","0","0","0","No"
"AD4","Risky SPN configuration","0","0","0","N/A","Compliant","0","0","0","0","No"
"AD5","Unconstrained delegation","0","0","0","N/A","Compliant","0","0","0","0","No"
"AD6","Constrained delegation with protocol transition","0","0","0","N/A","Compliant","0","0","0","0","No"
"AD7","Delegation privilege audit","0","0","0","N/A","Compliant","0","0","0","0","No"
"API1","API authentication bypass","0","0","0","N/A","Compliant","0","0","0","0","No"
"API2","Injection vulnerabilities","0","0","0","N/A","Compliant","0","0","0","0","No"
"API3","Broken object level authorization","0","0","0","N/A","Compliant","0","0","0","0","No"
"API4","Mass assignment","0","0","0","N/A","Compliant","0","0","0","0","No"
"API5","API versioning security","0","0","0","N/A","Compliant","0","0","0","0","No"
"APPCTL1","DLL injection vulnerability","0","0","0","N/A","Compliant","0","0","0","0","No"
"APPCTL2","DLL hijacking risk","0","0","0","N/A","Compliant","0","0","0","0","No"
"APPCTL3","Resource hijacking","0","0","0","N/A","Compliant","0","0","0","0","No"
"APPCTL4","AppLocker bypass paths","0","0","0","N/A","Compliant","0","0","0","0","No"
"APPCTL5","Writable system paths","0","0","0","N/A","Compliant","0","0","0","0","No"
"APS1","Workstation to PAM escalation","0","0","0","N/A","Compliant","0","0","0","0","No"
"APS2","Pass-the-Hash attack surface","0","0","0","N/A","Compliant","0","0","0","0","No"
"APS3","NTLM relay risks","0","0","0","N/A","Compliant","0","0","0","0","No"
"APS4","Cached credential extraction resilience","0","0","0","N/A","Compliant","0","0","0","0","No"
"APS5","Kerberoasting exposure","0","0","0","N/A","Compliant","0","0","0","0","No"
"APS6","Privilege escalation paths","0","0","0","N/A","Compliant","0","0","0","0","No"
"AUD1","SIEM integration health","0","0","0","N/A","Compliant","0","0","0","0","No"
"AUD2","Audit log retention","0","0","0","N/A","Compliant","0","0","0","0","No"
"AUD3","Critical event alerting","0","0","0","N/A","Compliant","0","0","0","0","No"
"AUD4","Audit data integrity","0","0","0","N/A","Compliant","0","0","0","0","No"
"BB1","Exposed sensitive endpoints","0","0","0","N/A","Compliant","0","0","0","0","No"
"BB10","Rate limiting","1","0","1","0","High Non-Compliance","0","1","0","0","Yes"
"BB11","Known vulnerabilities","0","0","0","N/A","Compliant","0","0","0","0","No"
"BB2","Information disclosure","0","0","0","N/A","Compliant","0","0","0","0","No"
"BB3","Default credentials","0","0","0","N/A","Compliant","0","0","0","0","No"
"BB4","Dangerous HTTP methods","0","0","0","N/A","Compliant","0","0","0","0","No"
"BB5","Cookie security attributes","0","0","0","N/A","Compliant","0","0","0","0","No"
"BB6","CORS configuration","0","0","0","N/A","Compliant","0","0","0","0","No"
"BB7","Exposed backup/config files","0","0","0","N/A","Compliant","0","0","0","0","No"
"BB8","Directory listing","0","0","0","N/A","Compliant","0","0","0","0","No"
"BB9","SSL/TLS certificate issues","0","0","0","N/A","Compliant","0","0","0","0","No"
"BKP1","Vault backup encryption","0","0","0","N/A","Compliant","0","0","0","0","No"
"BKP2","Backup file permissions","0","0","0","N/A","Compliant","0","0","0","0","No"
"BKP3","Backup in-transit encryption","0","0","0","N/A","Compliant","0","0","0","0","No"
"BKP4","Backup restoration testing","0","0","0","N/A","Compliant","0","0","0","0","No"
"BKP5","Backup retention policy","0","0","0","N/A","Compliant","0","0","0","0","No"
"CA25-25","Secrets Manager SaaS Edge DoS","0","0","0","N/A","Compliant","0","0","0","0","No"
"CA25-29","PVWA Prototype Pollution","0","0","0","N/A","Compliant","0","0","0","0","No"
"CA25-32","CCP Sensitive Info Disclosure","0","0","0","N/A","Compliant","0","0","0","0","No"
"CA25-34","HTML5 Gateway DoS","0","0","0","N/A","Compliant","0","0","0","0","No"
"CA25-35","PSM-SSH Race Condition DoS","0","0","0","N/A","Compliant","0","0","0","0","No"
"CLD1","Cloud provider integration","0","0","0","N/A","Compliant","0","0","0","0","No"
"CLD2","Federated identity configuration","0","0","0","N/A","Compliant","0","0","0","0","No"
"CLD3","Cloud secret sync policy","0","0","0","N/A","Compliant","0","0","0","0","No"
"CLD4","CIEM integration","0","0","0","N/A","Compliant","0","0","0","0","No"
"CLD5","Cloud IAM role analysis","0","0","0","N/A","Compliant","0","0","0","0","No"
"CLD6","Multi-cloud policy consistency","0","0","0","N/A","Compliant","0","0","0","0","No"
"COMP1","NIST CSF mapping","0","0","0","N/A","Compliant","0","0","0","0","No"
"COMP2","SOC 2 alignment","0","0","0","N/A","Compliant","0","0","0","0","No"
"COMP3","PCI-DSS controls","0","0","0","N/A","Compliant","0","0","0","0","No"
"COMP4","Blueprint maturity score","0","0","0","N/A","Compliant","0","0","0","0","No"
"CPMH1","FIPS cryptography","0","0","0","N/A","Compliant","0","0","0","0","No"
"CPMH2","DEP configuration","0","0","0","N/A","Compliant","0","0","0","0","No"
"CPMH3","Credential file hardening","0","0","0","N/A","Compliant","0","0","0","0","No"
"CPMH4","CPM service account configuration","0","0","0","N/A","Compliant","0","0","0","0","No"
"CVE1","CVE-2021-31796 (SSRF)","0","0","0","N/A","Compliant","0","0","0","0","No"
"CVE10","CVE-2025-22273 (EPM Password Change Brute Force)","0","0","0","N/A","Compliant","0","0","0","0","No"
"CVE11","CVE-2025-22274 (EPM Application Definition Injection)","0","0","0","N/A","Compliant","0","0","0","0","No"
"CVE12","CVE-2025-49827 (Secrets Manager IAM Bypass)","0","0","0","N/A","Compliant","0","0","0","0","No"
"CVE13","CVE-2025-49828 (Secrets Manager RCE)","0","0","0","N/A","Compliant","0","0","0","0","No"
"CVE14","CVE-2025-49831 (Secrets Manager Network Bypass)","0","0","0","N/A","Compliant","0","0","0","0","No"
"CVE15","CVE-2024-38996 (PVWA Prototype Pollution)","0","0","0","N/A","Compliant","0","0","0","0","No"
"CVE2","CVE-2022-22536 (Authentication Bypass)","0","0","0","N/A","Compliant","0","0","0","0","No"
"CVE3","CVE-2023-43903 (XSS)","0","0","0","N/A","Compliant","0","0","0","0","No"
"CVE4","CVE-2022-22965 (Spring4Shell)","0","0","0","N/A","Compliant","0","0","0","0","No"
"CVE5","CVE-2024-42340 (DOM XSS)","0","0","0","N/A","Compliant","0","0","0","0","No"
"CVE6","CVE-2024-42339 (HTML Injection)","0","0","0","N/A","Compliant","0","0","0","0","No"
"CVE7","CVE-2025-22270 (EPM HTML Injection)","0","0","0","N/A","Compliant","0","0","0","0","No"
"CVE8","CVE-2025-22271 (EPM X-Forwarded-For Spoofing)","0","0","0","N/A","Compliant","0","0","0","0","No"
"CVE9","CVE-2025-22272 (EPM XSS modalDlgMsgInternal)","0","0","0","N/A","Compliant","0","0","0","0","No"
"DR1","DR Vault replication","0","0","0","N/A","Compliant","0","0","0","0","No"
"DR2","HA cluster health","0","0","0","N/A","Compliant","0","0","0","0","No"
"DR3","Component redundancy","0","0","0","N/A","Compliant","0","0","0","0","No"
"DR4","Backup configuration","0","0","0","N/A","Compliant","0","0","0","0","No"
"DR5","Break-glass accounts","0","0","0","N/A","Compliant","0","0","0","0","No"
"DSO1","CI/CD secrets retrieval patterns","0","0","0","N/A","Compliant","0","0","0","0","No"
"DSO2","Pipeline secrets sprawl","0","0","0","N/A","Compliant","0","0","0","0","No"
"DSO3","Short-lived token usage","0","0","0","N/A","Compliant","0","0","0","0","No"
"DSO4","Pipeline audit logging","0","0","0","N/A","Compliant","0","0","0","0","No"
"DSO5","Secrets in build artifacts","0","0","0","N/A","Compliant","0","0","0","0","No"
"DSO6","Pipeline identity binding","0","0","0","N/A","Compliant","0","0","0","0","No"
"EPM1","EPM integration status","0","0","0","N/A","Compliant","0","0","0","0","No"
"EPM2","Default policy assessment","0","0","0","N/A","Compliant","0","0","0","0","No"
"EPM3","Application control mode","0","0","0","N/A","Compliant","0","0","0","0","No"
"EPM4","Credential theft protection","0","0","0","N/A","Compliant","0","0","0","0","No"
"EPM5","Elevation justification","0","0","0","N/A","Compliant","0","0","0","0","No"
"EPM6","EPM audit logging","0","0","0","N/A","Compliant","0","0","0","0","No"
"HARD1","Unnecessary server roles","0","0","0","N/A","Compliant","0","0","0","0","No"
"HARD2","Screen saver configuration","1","1","0","100","Compliant","0","0","0","0","No"
"HARD3","Advanced audit policy","1","0","1","0","High Non-Compliance","0","1","0","0","Yes"
"HARD4","Remote Desktop hardening","1","0","1","0","High Non-Compliance","0","1","0","0","Yes"
"HARD5","Registry permissions","1","1","0","100","Compliant","0","0","0","0","No"
"HARD6","Registry auditing","1","0","1","0","Partial Compliance","0","0","1","0","Yes"
"HARD7","File system permissions","0","0","0","N/A","Compliant","0","0","0","0","No"
"HARD8","File system auditing","1","0","1","0","Partial Compliance","0","0","1","0","Yes"
"HOST1","Windows firewall configuration","0","0","0","N/A","Compliant","0","0","0","0","No"
"HOST2","Service account privileges","0","0","0","N/A","Compliant","0","0","0","0","No"
"HOST3","Credential caching","0","0","0","N/A","Compliant","0","0","0","0","No"
"HOST4","Event log configuration","0","0","0","N/A","Compliant","0","0","0","0","No"
"HOST5","Antivirus/EDR status","0","0","0","N/A","Compliant","0","0","0","0","No"
"HSM1","HSM connectivity and health","0","0","0","N/A","Compliant","0","0","0","0","No"
"HSM2","HSM key wrapping configuration","0","0","0","N/A","Compliant","0","0","0","0","No"
"HSM3","HSM partition isolation","0","0","0","N/A","Compliant","0","0","0","0","No"
"HSM4","HSM firmware currency","0","0","0","N/A","Compliant","0","0","0","0","No"
"IDN1","SSO integration with PVWA","0","0","0","N/A","Compliant","0","0","0","0","No"
"IDN2","Adaptive MFA policy","0","0","0","N/A","Compliant","0","0","0","0","No"
"IDN3","Identity lifecycle sync","0","0","0","N/A","Compliant","0","0","0","0","No"
"IDN4","Session risk scoring","0","0","0","N/A","Compliant","0","0","0","0","No"
"IDN5","Identity audit integration","0","0","0","N/A","Compliant","0","0","0","0","No"
"IDN6","Privileged app catalog policies","0","0","0","N/A","Compliant","0","0","0","0","No"
"IGA1","Orphaned identities","0","0","0","N/A","Compliant","0","0","0","0","No"
"IGA2","Permission drift detection","0","0","0","N/A","Compliant","0","0","0","0","No"
"IGA3","Inactive user accounts","0","0","0","N/A","Compliant","0","0","0","0","No"
"IGA4","Excessive safe memberships","0","0","0","N/A","Compliant","0","0","0","0","No"
"IGA5","Access certification status","0","0","0","N/A","Compliant","0","0","0","0","No"
"IGA6","Role membership sprawl","0","0","0","N/A","Compliant","0","0","0","0","No"
"IGA7","Pending account queue age","0","0","0","N/A","Compliant","0","0","0","0","No"
"IGA8","Account ownership gaps","0","0","0","N/A","Compliant","0","0","0","0","No"
"K8S1","Secrets Provider deployment mode","0","0","0","N/A","Compliant","0","0","0","0","No"
"K8S2","Pod security context","0","0","0","N/A","Compliant","0","0","0","0","No"
"K8S3","Service Account JWT authentication","0","0","0","N/A","Compliant","0","0","0","0","No"
"K8S4","Kubernetes secrets rotation","0","0","0","N/A","Compliant","0","0","0","0","No"
"K8S5","RBAC for secrets","0","0","0","N/A","Compliant","0","0","0","0","No"
"K8S6","Mounted secret permissions","0","0","0","N/A","Compliant","0","0","0","0","No"
"K8S7","Conjur follower health","0","0","0","N/A","Compliant","0","0","0","0","No"
"K8S8","Kubernetes audit logging","0","0","0","N/A","Compliant","0","0","0","0","No"
"MID1","Service account enumeration","0","0","0","N/A","Compliant","0","0","0","0","No"
"MID2","Machine identity rotation","0","0","0","N/A","Compliant","0","0","0","0","No"
"MID3","Over-privileged service accounts","0","0","0","N/A","Compliant","0","0","0","0","No"
"MID4","Certificate-based authentication","0","0","0","N/A","Compliant","0","0","0","0","No"
"MID5","AppID security validation","0","0","0","N/A","Compliant","0","0","0","0","No"
"MID6","Stale machine identities","0","0","0","N/A","Compliant","0","0","0","0","No"
"MID7","AIM Provider deployment","0","0","0","N/A","Compliant","0","0","0","0","No"
"MID8","AIM Provider configuration","0","0","0","N/A","Compliant","0","0","0","0","No"
"MID9","AIM Provider connectivity","0","0","0","N/A","Compliant","0","0","0","0","No"
"NET1","CyberArk port exposure","0","0","0","N/A","Compliant","0","0","0","0","No"
"NET2","Vault port security (1858)","0","0","0","N/A","Compliant","0","0","0","0","No"
"NET3","Administrative port exposure","0","0","0","N/A","Compliant","0","0","0","0","No"
"NET4","SMB/NetBIOS exposure","0","0","0","N/A","Compliant","0","0","0","0","No"
"NET5","RDP exposure","0","0","0","N/A","Compliant","0","0","0","0","No"
"NET6","Database port exposure","0","0","0","N/A","Compliant","0","0","0","0","No"
"NET7","DNS security","1","0","1","0","Partial Compliance","0","0","1","0","Yes"
"NSG1","Vault network isolation","0","0","0","N/A","Compliant","0","0","0","0","No"
"NSG2","PSM to Vault communication restrictions","0","0","0","N/A","Compliant","0","0","0","0","No"
"NSG3","PVWA to backend segmentation","0","0","0","N/A","Compliant","0","0","0","0","No"
"NSG4","East-West traffic monitoring","0","0","0","N/A","Compliant","0","0","0","0","No"
"NSG5","Component-specific network ACLs","0","0","0","N/A","Compliant","0","0","0","0","No"
"OPS1","Account onboarding queue metrics","0","0","0","N/A","Compliant","0","0","0","0","No"
"OPS2","CPM password change failure rates","0","0","0","N/A","Compliant","0","0","0","0","No"
"OPS3","PSM session success/failure ratios","0","0","0","N/A","Compliant","0","0","0","0","No"
"OPS4","CPM reconciliation backlog","0","0","0","N/A","Compliant","0","0","0","0","No"
"OPS5","Platform connection errors","0","0","0","N/A","Compliant","0","0","0","0","No"
"OPS6","Vault utilization and capacity","0","0","0","N/A","Compliant","0","0","0","0","No"
"OPS7","License compliance","0","0","0","N/A","Compliant","0","0","0","0","No"
"OPS8","Component uptime","0","0","0","N/A","Compliant","0","0","0","0","No"
"PC1","Privilege Cloud connector health","0","0","0","N/A","Compliant","0","0","0","0","No"
"PC2","Identity Security Platform integration","0","0","0","N/A","Compliant","0","0","0","0","No"
"PC3","Privilege Cloud API security","0","0","0","N/A","Compliant","0","0","0","0","No"
"PC4","Privilege Cloud tenant isolation","0","0","0","N/A","Compliant","0","0","0","0","No"
"PC5","Cloud connector redundancy","0","0","0","N/A","Compliant","0","0","0","0","No"
"PLG1","Custom PSM connectors security","0","0","0","N/A","Compliant","0","0","0","0","No"
"PLG2","Custom CPM plugin injection risks","0","0","0","N/A","Compliant","0","0","0","0","No"
"PLG3","Unauthorized/outdated components","0","0","0","N/A","Compliant","0","0","0","0","No"
"PLG4","Plugin digital signature validation","0","0","0","N/A","Compliant","0","0","0","0","No"
"PLG5","Custom script file permissions","0","0","0","N/A","Compliant","0","0","0","0","No"
"PSMH1","PSM user configuration","0","0","0","N/A","Compliant","0","0","0","0","No"
"PSMH10","Out-of-domain configuration","0","0","0","N/A","Compliant","0","0","0","0","No"
"PSMH2","Remote Desktop Users cleared","0","0","0","N/A","Compliant","0","0","0","0","No"
"PSMH3","AppLocker rules","0","0","0","N/A","Compliant","0","0","0","0","No"
"PSMH4","PSM drives hidden","0","0","0","N/A","Compliant","0","0","0","0","No"
"PSMH5","IE tools blocked","0","0","0","N/A","Compliant","0","0","0","0","No"
"PSMH6","RDS hardening","0","0","0","N/A","Compliant","0","0","0","0","No"
"PSMH7","PSM user access hardening","0","0","0","N/A","Compliant","0","0","0","0","No"
"PSMH8","SMB services hardening","0","0","0","N/A","Compliant","0","0","0","0","No"
"PSMH9","Screen saver for PSM users","0","0","0","N/A","Compliant","0","0","0","0","No"
"PTAD1","PTA custom detection rules","0","0","0","N/A","Compliant","0","0","0","0","No"
"PTAD2","PTA ML model quality","0","0","0","N/A","Compliant","0","0","0","0","No"
"PTAD3","PTA alert fatigue (false positives)","0","0","0","N/A","Compliant","0","0","0","0","No"
"PTAD4","PTA detection rule coverage","0","0","0","N/A","Compliant","0","0","0","0","No"
"PTAD5","PTA UEBA integration","0","0","0","N/A","Compliant","0","0","0","0","No"
"PTAD6","PTA automated response actions","0","0","0","N/A","Compliant","0","0","0","0","No"
"PVWAH1","IIS registry shares","0","0","0","N/A","Compliant","0","0","0","0","No"
"PVWAH2","WebDAV disabled","0","0","0","N/A","Compliant","0","0","0","0","No"
"PVWAH3","PVWA cryptography settings","0","0","0","N/A","Compliant","0","0","0","0","No"
"PVWAH4","IIS MIME types","0","0","0","N/A","Compliant","0","0","0","0","No"
"PVWAH5","Anonymous authentication disabled","0","0","0","N/A","Compliant","0","0","0","0","No"
"PVWAH6","Application pool configuration","0","0","0","N/A","Compliant","0","0","0","0","No"
"PVWAH7","Non-system drive installation","0","0","0","N/A","Compliant","0","0","0","0","No"
"PVWAH8","Scheduled task service user","0","0","0","N/A","Compliant","0","0","0","0","No"
"RA1","Alero invitation workflow","0","0","0","N/A","Compliant","0","0","0","0","No"
"RA2","Alero session time limits","0","0","0","N/A","Compliant","0","0","0","0","No"
"RA3","Alero biometric/device binding","0","0","0","N/A","Compliant","0","0","0","0","No"
"RA4","Alero audit log completeness","0","0","0","N/A","Compliant","0","0","0","0","No"
"RA5","Alero periodic access reviews","0","0","0","N/A","Compliant","0","0","0","0","No"
"RA6","Alero MFA enforcement","0","0","0","N/A","Compliant","0","0","0","0","No"
"SCI1","Component file hash validation","0","0","0","N/A","Compliant","0","0","0","0","No"
"SCI2","Patch currency","0","0","0","N/A","Compliant","0","0","0","0","No"
"SCI3","Third-party library vulnerabilities","0","0","0","N/A","Compliant","0","0","0","0","No"
"SCI4","Digital signature validation","0","0","0","N/A","Compliant","0","0","0","0","No"
"SCI5","Component origin verification","0","0","0","N/A","Compliant","0","0","0","0","No"
"SEC1","Credential Provider deployment","0","0","0","N/A","Compliant","0","0","0","0","No"
"SEC10","MAML policy validation","0","0","0","N/A","Compliant","0","0","0","0","No"
"SEC11","Authenticator configuration","0","0","0","N/A","Compliant","0","0","0","0","No"
"SEC12","Conjur database encryption","0","0","0","N/A","Compliant","0","0","0","0","No"
"SEC13","API key rotation","0","0","0","N/A","Compliant","0","0","0","0","No"
"SEC14","Conjur audit logging","0","0","0","N/A","Compliant","0","0","0","0","No"
"SEC2","AppID authentication strength","0","0","0","N/A","Compliant","0","0","0","0","No"
"SEC3","Allowed machines configuration","0","0","0","N/A","Compliant","0","0","0","0","No"
"SEC4","Cache TTL settings","0","0","0","N/A","Compliant","0","0","0","0","No"
"SEC5","CCP TLS/mTLS configuration","0","0","0","N/A","Compliant","0","0","0","0","No"
"SEC6","Secret rotation policy","0","0","0","N/A","Compliant","0","0","0","0","No"
"SEC7","Orphan secrets detection","0","0","0","N/A","Compliant","0","0","0","0","No"
"SEC8","Credential sprawl analysis","0","0","0","N/A","Compliant","0","0","0","0","No"
"SEC9","Conjur integration health","0","0","0","N/A","Compliant","0","0","0","0","No"
"SH1","Secrets Hub sync health","0","0","0","N/A","Compliant","0","0","0","0","No"
"SH2","Secrets Hub sync latency","0","0","0","N/A","Compliant","0","0","0","0","No"
"SH3","Secrets Hub version drift","0","0","0","N/A","Compliant","0","0","0","0","No"
"SH4","Secrets Hub sync failure rate","0","0","0","N/A","Compliant","0","0","0","0","No"
"SH5","Secrets Hub target configuration","0","0","0","N/A","Compliant","0","0","0","0","No"
"SH6","Secrets Hub audit logging","0","0","0","N/A","Compliant","0","0","0","0","No"
"TLS1","Cipher suite strength","0","0","0","N/A","Compliant","0","0","0","0","No"
"TLS2","Protocol version support","0","0","0","N/A","Compliant","0","0","0","0","No"
"TLS3","Certificate chain validation","0","0","0","N/A","Compliant","0","0","0","0","No"
"TLS4","OCSP/CRL checking","0","0","0","N/A","Compliant","0","0","0","0","No"
"TPI1","ITSM (ServiceNow) integration","0","0","0","N/A","Compliant","0","0","0","0","No"
"TPI2","SOAR automated response playbooks","0","0","0","N/A","Compliant","0","0","0","0","No"
"TPI3","SIEM PAM event correlation","0","0","0","N/A","Compliant","0","0","0","0","No"
"TPI4","SIEM log forwarder health","0","0","0","N/A","Compliant","0","0","0","0","No"
"TPI5","Integration credential health","0","0","0","N/A","Compliant","0","0","0","0","No"
"V1.1","Master Policy - Minimum validity period","0","0","0","N/A","Compliant","0","0","0","0","No"
"V1.2","Master Policy - One-time password enforcement","0","0","0","N/A","Compliant","0","0","0","0","No"
"V1.3","Master Policy - Exclusive access controls","0","0","0","N/A","Compliant","0","0","0","0","No"
"V1.4","Master Policy - Reset overrides settings","0","0","0","N/A","Compliant","0","0","0","0","No"
"V2.1","PSM - Session recording enabled","0","0","0","N/A","Compliant","0","0","0","0","No"
"V2.2","PSM - Keystroke logging configured","0","0","0","N/A","Compliant","0","0","0","0","No"
"V2.3","PSM - Copy/paste restrictions","0","0","0","N/A","Compliant","0","0","0","0","No"
"V2.4","PSM - Recording encryption","0","0","0","N/A","Compliant","0","0","0","0","No"
"V3.1","Account Discovery - Pending accounts reviewed","0","0","0","N/A","Compliant","0","0","0","0","No"
"V3.2","Account Discovery - Onboarding rules defined","0","0","0","N/A","Compliant","0","0","0","0","No"
"V3.3","Account Discovery - Scanner configuration","0","0","0","N/A","Compliant","0","0","0","0","No"
"V4.1","PTA - Anomaly detection enabled","0","0","0","N/A","Compliant","0","0","0","0","No"
"V4.2","PTA - Unmanaged account detection","0","0","0","N/A","Compliant","0","0","0","0","No"
"V4.3","PTA - SIEM integration active","0","0","0","N/A","Compliant","0","0","0","0","No"
"V5.1","Connection Components - Security configured","0","0","0","N/A","Compliant","0","0","0","0","No"
"V5.2","Connection Components - Transparent users","0","0","0","N/A","Compliant","0","0","0","0","No"
"V6.1","Linked Accounts - Logon accounts configured","0","0","0","N/A","Compliant","0","0","0","0","No"
"V6.2","Linked Accounts - Reconcile accounts assigned","0","0","0","N/A","Compliant","0","0","0","0","No"
"V7.1","PVWA - HTTP security headers","0","0","0","N/A","Compliant","0","0","0","0","No"
"V7.2","PVWA - Session management","0","0","0","N/A","Compliant","0","0","0","0","No"
"V7.3","PVWA - Concurrent session limits","1","1","0","100","Compliant","0","0","0","0","No"
"V8.1","CPM - Service account permissions","0","0","0","N/A","Compliant","0","0","0","0","No"
"V8.2","CPM - Scanner intervals","0","0","0","N/A","Compliant","0","0","0","0","No"
"VAULT1","NIC hardening","0","0","0","N/A","Compliant","0","0","0","0","No"
"VAULT2","Static IP configuration","0","0","0","N/A","Compliant","0","0","0","0","No"
"VAULT3","Domain membership check","0","0","0","N/A","Compliant","0","0","0","0","No"
"VAULT4","Logic Container service user","0","0","0","N/A","Compliant","0","0","0","0","No"
"VAULT5","Firewall non-standard rules","0","0","0","N/A","Compliant","0","0","0","0","No"
"VAULT6","Vault server certificate","0","0","0","N/A","Compliant","0","0","0","0","No"
"ZSP1","Permanent privileged access","0","0","0","N/A","Compliant","0","0","0","0","No"
"ZSP2","Dual control workflows","0","0","0","N/A","Compliant","0","0","0","0","No"
"ZSP3","Concurrent session limits","0","0","0","N/A","Compliant","0","0","0","0","No"
"ZSP4","Check-in/check-out enforcement","0","0","0","N/A","Compliant","0","0","0","0","No"
"ZSP5","Standing privilege recommendations","0","0","0","N/A","Compliant","0","0","0","0","No"
